"season","kbo_player_id","player_uid","team","player_name","source_level","sample_tbf","sample_ip","confidence","repertoire","pitcher_velocity","pitcher_stuff","pitcher_command","pitcher_movement","pitcher_stamina","pitcher_pitchability","pitcher_strikeout","pitcher_walk_control","pitcher_composure","pitch_four_seam","pitch_sinker","pitch_cutter","pitch_changeup","pitch_slider","pitch_curve","pitch_splitter","pitch_sweeper","pitch_knuckleball","avg_velocity","k_stuff_plus","k_location_plus","whiff_rate","csw_rate","k_rate","bb_rate","hr_rate","fip","pitch_detail_json","salary_10k_krw","salary_rating_adjustment","formula_version","kbo_source_url","tracking_source_url"
"2025","53609","KBO-53609","KIA 타이거즈","곽도규","KBO","22","4.0","low","Sinker/Curve/Changeup","10","12","8","13","8","9","15","4","6","","10","","","","10","","","","142.5","99.3","98.1","0.091","0.354","0.227","0.273","0.000","6.94","[{""code"":""SI"",""name"":""Sinker"",""n"":69,""usage_pct"":69.7,""speed"":142.5,""k_stuff_plus"":102.36,""k_location_plus"":96.4,""whiff_rate"":0.058,""csw_rate"":0.3478},{""code"":""CU"",""name"":""Curve"",""n"":25,""usage_pct"":25.3,""speed"":123.6,""k_stuff_plus"":103.21,""k_location_plus"":101.9,""whiff_rate"":0.2,""csw_rate"":0.4},{""code"":""CH"",""name"":""Changeup"",""n"":5,""usage_pct"":5.1,""speed"":127.2,""k_stuff_plus"":100.6,""k_location_plus"":98.7,""whiff_rate"":0.0,""csw_rate"":0.2}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53609","https://www.kbostuff.app/stuff/53609?season=2025"
"2025","76225","KBO-76225","KIA 타이거즈","김건국","KBO","216","46.0","medium","Four-seam/Cutter/Curve/Splitter/Sinker/Changeup","10","6","11","3","11","7","4","16","4","10","10","10","","","10","10","","","143.2","99.0","100.9","0.094","0.248","0.144","0.079","0.051","6.63","[{""code"":""FF"",""name"":""Four-seam"",""n"":279,""usage_pct"":33.7,""speed"":146.3,""k_stuff_plus"":97.95,""k_location_plus"":97.8,""whiff_rate"":0.043,""csw_rate"":0.1864},{""code"":""FC"",""name"":""Cutter"",""n"":248,""usage_pct"":30,""speed"":139.7,""k_stuff_plus"":97.9,""k_location_plus"":97.0,""whiff_rate"":0.1452,""csw_rate"":0.2661},{""code"":""CU"",""name"":""Curve"",""n"":149,""usage_pct"":18,""speed"":119.3,""k_stuff_plus"":98.39,""k_location_plus"":98.5,""whiff_rate"":0.094,""csw_rate"":0.3356},{""code"":""FS"",""name"":""Splitter"",""n"":131,""usage_pct"":15.8,""speed"":136.3,""k_stuff_plus"":95.31,""k_location_plus"":107.4,""whiff_rate"":0.1069,""csw_rate"":0.2443},{""code"":""SI"",""name"":""Sinker"",""n"":16,""usage_pct"":1.9,""speed"":144.6,""k_stuff_plus"":94.65,""k_location_plus"":102.9,""whiff_rate"":0.0625,""csw_rate"":0.25},{""code"":""CH"",""name"":""Changeup"",""n"":4,""usage_pct"":0.5,""speed"":134.0,""k_stuff_plus"":96.3,""k_location_plus"":99.4,""whiff_rate"":0.25,""csw_rate"":0.25}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=76225","https://www.kbostuff.app/stuff/76225?season=2025"
"2025","69620","KBO-69620","KIA 타이거즈","김기훈","KBO","117","27.7","medium","Four-seam/Changeup/Slider","10","13","13","15","10","16","17","14","16","10","","","10","10","","","","","142.5","101.1","100.3","0.102","0.312","0.231","0.085","0.017","3.62","[{""code"":""FF"",""name"":""Four-seam"",""n"":226,""usage_pct"":50.3,""speed"":142.5,""k_stuff_plus"":101.05,""k_location_plus"":103.4,""whiff_rate"":0.0619,""csw_rate"":0.2876},{""code"":""CH"",""name"":""Changeup"",""n"":129,""usage_pct"":28.7,""speed"":124.0,""k_stuff_plus"":104.22,""k_location_plus"":91.9,""whiff_rate"":0.124,""csw_rate"":0.3256},{""code"":""SL"",""name"":""Slider"",""n"":94,""usage_pct"":20.9,""speed"":131.3,""k_stuff_plus"":97.11,""k_location_plus"":102.3,""whiff_rate"":0.1702,""csw_rate"":0.3511}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69620","https://www.kbostuff.app/stuff/69620?season=2025"
"2025","60337","KBO-60337","KIA 타이거즈","김대유","KBO","42","8.3","low","Four-seam/Slider/Curve/Changeup/Sinker","6","8","10","8","8","8","5","12","6","10","","","10","10","10","","","","136.6","98.4","103.8","0.114","0.307","0.071","0.095","0.024","5.72","[{""code"":""FF"",""name"":""Four-seam"",""n"":61,""usage_pct"":43.6,""speed"":136.6,""k_stuff_plus"":101.87,""k_location_plus"":102.7,""whiff_rate"":0.082,""csw_rate"":0.3115},{""code"":""SL"",""name"":""Slider"",""n"":42,""usage_pct"":30,""speed"":126.5,""k_stuff_plus"":95.62,""k_location_plus"":105.2,""whiff_rate"":0.0714,""csw_rate"":0.2381},{""code"":""CU"",""name"":""Curve"",""n"":22,""usage_pct"":15.7,""speed"":118.0,""k_stuff_plus"":100.79,""k_location_plus"":100.4,""whiff_rate"":0.2273,""csw_rate"":0.4545},{""code"":""CH"",""name"":""Changeup"",""n"":14,""usage_pct"":10,""speed"":127.1,""k_stuff_plus"":97.28,""k_location_plus"":100.4,""whiff_rate"":0.2143,""csw_rate"":0.2857},{""code"":""SI"",""name"":""Sinker"",""n"":1,""usage_pct"":0.7,""speed"":137.0,""k_stuff_plus"":null,""k_location_plus"":96.9,""whiff_rate"":0.0,""csw_rate"":0.0}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=60337","https://www.kbostuff.app/stuff/60337?season=2025"
"2025","69745","KBO-69745","KIA 타이거즈","김도현","KBO","561","125.3","high","Four-seam/Curve/Changeup/Sinker/Slider","12","8","14","10","19","11","1","19","11","10","10","","10","10","11","","","","145.6","96.4","105.3","0.075","0.242","0.127","0.059","0.020","4.48","[{""code"":""FF"",""name"":""Four-seam"",""n"":581,""usage_pct"":28.1,""speed"":146.0,""k_stuff_plus"":97.6,""k_location_plus"":104.3,""whiff_rate"":0.0379,""csw_rate"":0.2255},{""code"":""CU"",""name"":""Curve"",""n"":444,""usage_pct"":21.5,""speed"":128.2,""k_stuff_plus"":98.94,""k_location_plus"":111.7,""whiff_rate"":0.0766,""csw_rate"":0.3086},{""code"":""CH"",""name"":""Changeup"",""n"":385,""usage_pct"":18.6,""speed"":133.1,""k_stuff_plus"":99.1,""k_location_plus"":104.6,""whiff_rate"":0.1247,""csw_rate"":0.226},{""code"":""SI"",""name"":""Sinker"",""n"":335,""usage_pct"":16.2,""speed"":145.0,""k_stuff_plus"":97.61,""k_location_plus"":99.6,""whiff_rate"":0.0358,""csw_rate"":0.1821},{""code"":""SL"",""name"":""Slider"",""n"":323,""usage_pct"":15.6,""speed"":138.7,""k_stuff_plus"":97.76,""k_location_plus"":103.8,""whiff_rate"":0.1207,""csw_rate"":0.2601}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69745","https://www.kbostuff.app/stuff/69745?season=2025"
"2025","54645","KBO-54645","KIA 타이거즈","김민주","KBO","17","3.0","low","Four-seam/Changeup/Curve","8","11","11","12","9","11","11","12","9","10","","","10","","","","","","139.1","96.4","102.7","0.111","0.296","0.118","0.118","0.000","6.11","[{""code"":""FF"",""name"":""Four-seam"",""n"":28,""usage_pct"":51.9,""speed"":139.1,""k_stuff_plus"":93.39,""k_location_plus"":102.7,""whiff_rate"":0.0,""csw_rate"":0.2857},{""code"":""CH"",""name"":""Changeup"",""n"":18,""usage_pct"":33.3,""speed"":124.7,""k_stuff_plus"":99.94,""k_location_plus"":102.5,""whiff_rate"":0.2222,""csw_rate"":0.2778},{""code"":""CU"",""name"":""Curve"",""n"":8,""usage_pct"":14.8,""speed"":122.6,""k_stuff_plus"":101.86,""k_location_plus"":100.5,""whiff_rate"":0.25,""csw_rate"":0.375}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54645","https://www.kbostuff.app/stuff/54645?season=2025"
"2025","63894","KBO-63894","KIA 타이거즈","김사윤","NONE","0","0.0","none","","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","","[]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","",""
"2025","66492","KBO-66492","KIA 타이거즈","김승현","FUTURES","88","15.7","low","","8","7","1","10","8","2","2","1","1","","","","","","","","","","","","","","","0.114","0.216","0.000","6.91","[]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=66492",""
"2025","68928","KBO-68928","KIA 타이거즈","김시훈","KBO","118","25.7","medium","Four-seam/Splitter/Curve/Slider","9","7","11","4","9","8","6","14","4","10","","","","10","10","10","","","140.9","95.7","105.9","0.096","0.291","0.153","0.085","0.059","6.75","[{""code"":""FF"",""name"":""Four-seam"",""n"":168,""usage_pct"":38.4,""speed"":140.9,""k_stuff_plus"":100.63,""k_location_plus"":100.1,""whiff_rate"":0.0595,""csw_rate"":0.2679},{""code"":""FS"",""name"":""Splitter"",""n"":138,""usage_pct"":31.6,""speed"":130.9,""k_stuff_plus"":95.3,""k_location_plus"":115.2,""whiff_rate"":0.0942,""csw_rate"":0.3478},{""code"":""CU"",""name"":""Curve"",""n"":100,""usage_pct"":22.9,""speed"":114.7,""k_stuff_plus"":96.16,""k_location_plus"":107.3,""whiff_rate"":0.15,""csw_rate"":0.27},{""code"":""SL"",""name"":""Slider"",""n"":31,""usage_pct"":7.1,""speed"":128.9,""k_stuff_plus"":94.47,""k_location_plus"":100.2,""whiff_rate"":0.129,""csw_rate"":0.2258}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68928","https://www.kbostuff.app/stuff/68928?season=2025"
"2025","55646","KBO-55646","KIA 타이거즈","김정엽","KBO","5","1.0","low","Four-seam/Curve/Slider","12","11","11","12","8","12","11","11","11","10","","","","","","","","","146.7","91.0","103.2","0.000","0.143","0.000","0.200","0.000","9.44","[{""code"":""FF"",""name"":""Four-seam"",""n"":14,""usage_pct"":66.7,""speed"":146.7,""k_stuff_plus"":93.82,""k_location_plus"":100.9,""whiff_rate"":0.0,""csw_rate"":0.0714},{""code"":""CU"",""name"":""Curve"",""n"":4,""usage_pct"":19,""speed"":121.5,""k_stuff_plus"":91.13,""k_location_plus"":101.5,""whiff_rate"":0.0,""csw_rate"":0.25},{""code"":""SL"",""name"":""Slider"",""n"":3,""usage_pct"":14.3,""speed"":128.0,""k_stuff_plus"":91.81,""k_location_plus"":102.7,""whiff_rate"":0.0,""csw_rate"":0.3333}]","","0","kbo-pitcher-abilities-v1-official-tracking-regressed","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=55646","https://www.kbostuff.app/stuff/55646?season=2025"
