kbo_player_id,player_name,birth_date,professional_entry_year,official_join,official_draft,source_url,level,role,verified_through
50030,소형준,2001-09-16,2020,20KT,20 KT 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030,first_team,pitching,2025
50030,소형준,2001-09-16,2020,20KT,20 KT 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50030,futures,pitching,2025
50036,이강준,2001-12-14,2020,20KT,20 KT 2차 3라운드 22순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50036,first_team,pitching,2025
50036,이강준,2001-12-14,2020,20KT,20 KT 2차 3라운드 22순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50036,futures,pitching,2025
50054,천성호,1997-10-30,2020,20KT,20 KT 2차 2라운드 12순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50054,first_team,hitting,2025
50054,천성호,1997-10-30,2020,20KT,20 KT 2차 2라운드 12순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50054,futures,hitting,2025
50066,강현우,2001-04-13,2020,20KT,20 KT 2차 1라운드 2순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50066,first_team,hitting,2025
50066,강현우,2001-04-13,2020,20KT,20 KT 2차 1라운드 2순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50066,futures,hitting,2025
50092,윤준혁,2001-07-26,2020,20KT,20 KT 2차 4라운드 32순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50092,first_team,hitting,2025
50092,윤준혁,2001-07-26,2020,20KT,20 KT 2차 4라운드 32순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092,futures,hitting,2025
50106,유영찬,1997-03-07,2020,23LG,20 LG 2차 5라운드 43순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50106,first_team,pitching,2025
50106,유영찬,1997-03-07,2020,23LG,20 LG 2차 5라운드 43순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50106,futures,pitching,2025
50108,함창건,2001-08-18,2020,24LG,20 LG 2차 7라운드 63순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50108,first_team,hitting,2025
50108,함창건,2001-08-18,2020,24LG,20 LG 2차 7라운드 63순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108,futures,hitting,2025
50109,성재헌,1997-12-22,2020,20LG,20 LG 2차 8라운드 73순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50109,first_team,pitching,2025
50109,성재헌,1997-12-22,2020,20LG,20 LG 2차 8라운드 73순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50109,futures,pitching,2025
50150,손호영,1994-08-23,2014,14시카고컵스,20 LG 2차 3라운드 23순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150,first_team,hitting,2025
50150,손호영,1994-08-23,2014,14시카고컵스,20 LG 2차 3라운드 23순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150,futures,hitting,2025
